                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9522,                 7.9413,                 4.2537,                      0,                      0,                      0,                      0,                 5.8209,                 6.2021,                 4.1608,                  5e-05,                  5e-05,                  5e-05
                      2,                 5.7178,                 7.5725,                 4.2486,                      0,                      0,                      0,                      0,                 5.8223,                 6.2092,                 4.1631,             0.00011239,             0.00011239,             0.00011239
                      3,                  5.341,                 6.8809,                  4.234,                      0,                      0,                      0,                      0,                 5.8237,                 6.2164,                 4.1661,             0.00017465,             0.00017465,             0.00017465
                      4,                 5.5974,                 6.6073,                 4.1616,                      0,                      0,                      0,                      0,                 5.8252,                 6.2226,                 4.1694,             0.00023679,             0.00023679,             0.00023679
                      5,                 5.6179,                 6.9485,                 4.1197,                      0,                      0,                      0,                      0,                 5.8281,                 6.2315,                  4.176,             0.00029881,             0.00029881,             0.00029881
                      6,                 5.1705,                 6.6724,                   4.05,                      0,                      0,                      0,                      0,                 5.8307,                 6.2373,                 4.1825,             0.00036071,             0.00036071,             0.00036071
                      7,                 4.7332,                 5.8246,                 3.9214,                      0,                      0,                      0,                      0,                 5.8359,                 6.2447,                 4.1972,             0.00042248,             0.00042248,             0.00042248
                      8,                 4.1005,                 5.0863,                 3.6591,                      0,                      0,                      0,                      0,                 5.8402,                  6.244,                 4.2089,             0.00048412,             0.00048412,             0.00048412
                      9,                 3.6051,                 4.1493,                 3.4684,                      0,                      0,                      0,                      0,                 5.8469,                 6.2164,                 4.2275,             0.00054564,             0.00054564,             0.00054564
                     10,                 3.3973,                 3.7067,                 3.1078,                      0,                      0,                      0,                      0,                 5.8534,                 6.1947,                  4.248,             0.00060704,             0.00060704,             0.00060704
                     11,                 3.0724,                 3.3023,                 2.7188,                      0,                      0,                      0,                      0,                 5.8545,                 6.1331,                 4.2548,             0.00066832,             0.00066832,             0.00066832
                     12,                 2.9873,                  3.278,                 2.4806,                      0,                      0,                      0,                      0,                 5.8556,                 6.0704,                 4.2585,             0.00072947,             0.00072947,             0.00072947
                     13,                 2.8673,                 3.0661,                 2.4292,                      0,                      0,                      0,                      0,                 5.8603,                 6.0666,                 4.2716,              0.0007905,              0.0007905,              0.0007905
                     14,                 2.6709,                 2.9487,                 2.2503,                      0,                      0,                      0,                      0,                  5.876,                 6.1017,                 4.3198,              0.0008514,              0.0008514,              0.0008514
                     15,                  2.693,                 2.8518,                 2.1759,                      0,                      0,                      0,                      0,                 5.8922,                 6.1259,                  4.373,             0.00091218,             0.00091218,             0.00091218
                     16,                 2.5079,                 2.7115,                 2.0348,                      0,                      0,                      0,                      0,                 5.8973,                 6.1188,                 4.3869,             0.00097284,             0.00097284,             0.00097284
                     17,                 2.3634,                 2.5703,                  1.934,                      0,                      0,                      0,                      0,                 5.8901,                 6.0628,                 4.3592,              0.0010334,              0.0010334,              0.0010334
                     18,                 2.3295,                 2.5583,                 1.8991,                      0,                      0,                      0,                      0,                 5.8772,                 6.0623,                 4.3269,              0.0010938,              0.0010938,              0.0010938
                     19,                  2.254,                 2.4444,                 1.8943,                      0,                      0,                      0,                      0,                 5.8564,                 6.0395,                 4.2849,              0.0011541,              0.0011541,              0.0011541
                     20,                 2.1852,                 2.4826,                  1.932,                      0,                      0,                      0,                      0,                 5.7826,                 5.8903,                 4.1746,              0.0012142,              0.0012142,              0.0012142
                     21,                 2.0647,                 2.3302,                 1.7701,                      0,                      0,                      0,                      0,                 5.7083,                  5.758,                 4.0801,              0.0012252,              0.0012252,              0.0012252
                     22,                 2.1251,                 2.2692,                 1.7325,                      0,                      0,                      0,                      0,                 5.6585,                 5.7633,                 4.0259,              0.0012252,              0.0012252,              0.0012252
                     23,                 2.0115,                  2.282,                 1.6299,                      0,                      0,                      0,                      0,                 5.6035,                 5.8882,                 4.0217,               0.001224,               0.001224,               0.001224
                     24,                 2.0863,                 2.2175,                 1.6475,                  8e-05,                0.00189,                  4e-05,                  1e-05,                 4.9169,                 5.7382,                 3.8144,              0.0012228,              0.0012228,              0.0012228
                     25,                 1.9998,                 2.2617,                 1.6763,                0.00097,                0.03389,                0.00056,                 0.0002,                 4.4501,                 5.4931,                  3.639,              0.0012215,              0.0012215,              0.0012215
                     26,                  1.901,                 2.1312,                 1.5947,                0.00212,                0.06912,                0.00488,                0.00142,                 3.9261,                 5.1276,                 3.3668,              0.0012203,              0.0012203,              0.0012203
                     27,                  1.928,                 2.1675,                 1.5908,                0.00411,                 0.1329,                0.01695,                0.00741,                 3.2712,                 4.5868,                 2.9483,              0.0012191,              0.0012191,              0.0012191
                     28,                  1.875,                 2.0967,                 1.5766,                0.01199,                0.46399,                0.09719,                0.03528,                 2.3109,                 3.4499,                 2.3226,              0.0012178,              0.0012178,              0.0012178
